"","job.code","job.name","tasks.less.automated","tasks.more.automated","May.2017.000s","male 0-9 years","male 10-19 years","male 20-29 years","male 30-39 years","male 40-49 years","male 50-59 years","male 60-69 years","male 70-79 years","male 80-89 years","male 90-99 years","male 100 years and over","female 0-9 years","female 10-19 years","female 20-29 years","female 30-39 years","female 40-49 years","female 50-59 years","female 60-69 years","female 70-79 years","female 80-89 years","female 90-99 years","female 100 years and over","under.10","under.20","under.30","under.40","under.50","under.60","under.70","under.80","under.90","under.100","over.100","total.men","total.women","percent.women","sum","percent.under.30","percent.thirtyto60","percent.over50","percent.over60"
"84","132","Business Administration Managers",86,14,138.64,0,39,3237,14559,18970,15576,4913,366,39,5,0,0,70,5620,18767,19085,11763,2602,132,12,0,0,0,115,8854,33328,38055,27338,7518,500,52,8,0,57704,58051,50.1498855341022,115768,7.74739133439292,85.2748600649575,30.5922189205998,6.97774860064957
"85","149","Miscellaneous Hospitality, Retail and Service Managers",86,14,178.26,0,316,8410,17950,21747,18142,7369,780,75,3,0,0,427,11412,13840,12908,8324,2466,199,26,0,0,0,746,19828,31792,34656,26464,9831,979,103,3,0,74792,49602,39.8749135810409,124402,16.5383193196251,74.686902139837,30.0477484284819,8.77477854053793
"86","134","Education, Health and Welfare Services Managers",87,13,75.75,0,13,556,2940,5060,7584,1804,129,12,0,0,0,53,3103,7764,10865,13410,3388,114,0,0,0,0,61,3667,10706,15927,20994,5190,244,13,0,0,18098,38697,68.1345188837046,56802,6.56314918488786,83.8473997394458,46.5494172740396,9.58945107566635
"87","271","Legal Professionals",87,13,87.16,0,23,4599,7472,7752,8443,4836,824,82,0,0,0,46,8366,10022,6020,3704,1042,118,3,0,0,0,70,12966,17494,13769,12149,5876,939,88,0,0,34031,29321,46.2826745801238,63351,20.5774178781708,68.5261479692507,30.0737162791432,10.8964341525785
"88","133","Construction, Distribution and Production Managers",87,13,256.16,0,1108,16814,43410,56662,46432,18381,2198,249,13,0,0,111,3198,7473,8525,5930,2032,277,34,0,0,0,1220,20013,50880,65192,52363,20410,2471,284,16,0,185267,27580,12.9576644256203,212849,9.97561651687347,79.1335641699045,35.4918275397113,10.890819313222
"89","631","Checkout Operators and Office Cashiers",87,13,130.55,0,12472,7818,1811,1112,1107,704,72,8,0,0,0,35747,20436,8378,9926,8561,2595,131,8,0,0,0,48222,28254,10188,11039,9668,3308,203,19,0,0,25104,85782,77.3605324387209,110901,68.9588010928666,27.8581798180359,11.9007042317021,3.18301908909748
"90","312","Building and Engineering Technicians",87,13,138.85,0,970,15992,23906,25456,21119,8735,690,35,5,0,0,183,3265,3231,2686,1679,396,20,0,0,0,0,1151,19256,27138,28138,22793,9130,704,35,5,0,96908,11460,10.5750775136572,108350,18.8343331795108,72.052607291186,30.1495154591601,9.11305952930318
"91","639","Miscellaneous Sales Support Workers",87,13,51.07,0,1357,3896,2732,2377,2186,1302,218,9,0,0,0,2247,8013,6616,7291,5714,2207,182,11,0,0,0,3601,11912,9348,9669,7896,3508,409,25,3,0,14077,32281,69.6341516027439,46371,33.4540984667141,58.038429190658,25.5353561493175,8.50747234262793
"92","139","Miscellaneous Specialist Managers",88,12,56.05,0,412,4192,8992,11212,9033,2664,212,3,4,0,0,157,2898,5688,5177,3108,748,53,3,0,0,0,564,7091,14677,16386,12139,3410,266,11,4,0,36724,17832,32.6856807683848,54548,14.0335117694508,79.1999706680355,29.020312385422,6.76651756251375
"93","135","ICT Managers",88,12,63.18,0,22,2664,11513,11626,6493,1138,28,0,0,0,0,11,928,3190,3126,1483,210,6,0,0,0,0,40,3595,14710,14758,7974,1350,33,0,0,0,33484,8954,21.0990150336962,42460,8.56099858690532,88.1818181818182,22.03721149317,3.2571832312765
"94","233","Engineering Professionals",90,10,136.4,0,394,23187,26376,20229,16634,8365,1128,129,3,0,0,45,4008,3753,1510,591,106,0,3,0,0,0,438,27192,30129,21735,17223,8471,1127,133,3,0,96445,10016,9.40814007007261,106451,25.9556039868108,64.9002827592038,25.3233882255686,9.1441132539854
"95","612","Real Estate Sales Agents",91,9,87.63,0,271,4784,6590,7510,7602,5484,1145,181,13,0,0,491,6848,6042,7430,6676,3093,460,82,0,0,0,765,11628,12629,14939,14275,8577,1604,260,20,0,33580,31122,48.1005223949801,64697,19.1554477023664,64.6753327047622,38.2336120685658,16.1692195928714
"96","611","Insurance Agents and Sales Representatives",93,7,89.24,0,644,11678,19650,18705,13956,6911,735,70,3,3,0,693,9672,10906,9952,5955,1865,120,11,0,0,0,1337,21348,30553,28664,19908,8769,859,80,3,3,72355,39174,35.1244967676568,111524,20.3409131666726,70.9488540583193,26.5610989562785,8.71023277500807
"97","511","Contract, Program and Project Administrators",93,7,121.08,0,133,5623,11818,12318,10129,3406,164,5,0,0,0,476,11869,17454,17121,11374,2672,84,3,0,0,0,606,17498,29276,29441,21507,6081,249,8,4,0,43596,61053,58.3407390419402,104670,17.2962644501767,76.6446928441769,26.6064775007165,6.05904270564632
